id	en	ru
478	Mauritania	Мавритания
480	Mauritius	Маврикий
484	Mexico	Мексика
492	Monaco	Монако
496	Mongolia	Монголия
498	Moldova	Молдова
499	Montenegro	Черногория
500	Montserrat	Монтсеррат
504	Morocco	Марокко
508	Mozambique	Мозамбик
512	Oman	Оман
516	Namibia	Намибия
520	Nauru	Науру
524	Nepal	Непал
528	Netherlands	Нидерланды
531	Curaçao	Кюрасао
533	Aruba	Аруба
534	Sint Maarten	Синт-Мартен
535	Bonaire, Sint Eustatius and Saba	Бонайре
540	New Caledonia	Новая Каледония
548	Vanuatu	Вануату
554	New Zealand	Новая Зеландия
558	Nicaragua	Никарагуа
562	Niger	Нигер
566	Nigeria	Нигерия
570	Niue	Ниуэ
574	Norfolk Island	Норфолк
578	Norway	Норвегия
580	Northern Mariana Islands	Северные Марианские острова
581	United States Minor Outlying Islands	Внешние малые острова США
583	Micronesia	Микронезия
584	Marshall Islands	Маршалловы Острова
585	Palau	Палау
586	Pakistan	Пакистан
591	Panama	Панама
598	Papua New Guinea	Папуа – Новая Гвинея
600	Paraguay	Парагвай
604	Peru	Перу
608	Philippines	Филиппины
612	Pitcairn	Острова Питкэрн
616	Poland	Польша
620	Portugal	Поргугалия
624	Guinea-Bissau	Гвинея-Биссау
626	East Timor	Восточный Тимор
630	Puerto Rico	Пуэрто-Рико
634	Qatar	Катар
638	Réunion	Реюньон
642	Romania	Румыния
643	Russian Federation	Россия
646	Rwanda	Руанда
652	Saint Barthélemy	Сен-Бартелеми
654	Saint Helena, Ascension and Tristan da Cunha	Острова Святой Елены
659	Saint Kitts and Nevis	Сент-Китс и Невис
660	Anguilla	Ангилья
662	Saint Lucia	Сент-Люсия
663	Saint Martin	Сен-Мартен
666	Saint Pierre and Miquelon	Сен-Пьер и Микелон
670	Saint Vincent and the Grenadines	Сент-Винсент и Гренадины
674	San Marino	Сан Марино
678	Sao Tome and Principe	Сан-Томе и Принсипи
682	Saudi Arabia	Саудовская Аравия
686	Senegal	Сенегал
688	Serbia	Сербия
690	Seychelles	Сейшельские Острова
694	Sierra Leone	Сьерра Леоне
702	Singapore	Сингапур
703	Slovakia	Словакия
704	Vietnam	Вьетнам
705	Slovenia	Словения
706	Somalia	Сомали
710	South Africa	ЮАР
716	Zimbabwe	Зимбабве
724	Spain	Испания
728	South Sudan	Южный Судан
729	Sudan	Судан
732	Western Sahara	Западная Сахара
740	Suriname	Суринам
744	Svalbard and Jan Mayen	Шпицберген и Ян-Майен
748	Swaziland	Эсватини
752	Sweden	Швеция
756	Switzerland	Швейцария
760	Syria	Сирия
762	Tajikistan	Таджикистан
764	Thailand	Тайланд
768	Togo	Того
772	Tokelau	Токелау
776	Tonga	Тонга
780	Trinidad and Tobago	Тринидад и Тобаго
784	United Arab Emirates	ОАЭ
788	Tunisia	Тунис
792	Turkey	Турция
795	Turkmenistan	Туркменистан
796	Turks and Caicos Islands	Теркс и Кайкос
798	Tuvalu	Тувалу
800	Uganda	Уганда
804	Ukraine	Украина
807	Macedonia	Македония
818	Egypt	Египет
826	United Kingdom	Англия
831	Guernsey	Гернси
832	Jersey	Джерси
833	Isle of Man	Остров Мэн
834	Tanzania	Танзания
840	United States of America	США
850	Virgin Islands	Виргинские Острова
854	Burkina Faso	Буркина Фасо
858	Uruguay	Уругвай
860	Uzbekistan	Убзекистан
862	Venezuela	Венесуэла
876	Wallis and Futuna	Уоллис и Футуна
882	Samoa	Самоа
887	Yemen	Йемен
894	Zambia	Забмия
900	Somalia	Сомали
901	Kosovo	Косово
904	French Guiana	Гвиана
